,date,breed,color,name,sex,state
317,1999-05-13T00:00:00+00:00,Retriever - 15 yrs old,Red,,F,Lost
318,1999-05-14T00:00:00+00:00,Brussels Griffon,Brown,Scamp,M,Matched
319,1999-05-14T00:00:00+00:00,Newfie X Lab,Black,Andrew,M/N,Matched
320,1999-05-14T00:00:00+00:00,Shep X Lab,Brown & Black & White,Jazzoo,M,Lost
321,1999-05-15T00:00:00+00:00,Chow X Husky,Tan & White,Frankie,M,Lost
322,1999-05-15T00:00:00+00:00,German Weimaraner,Beige Short Hair,Mercury,M,Lost
323,1999-05-15T00:00:00+00:00,Lhasa X Shih,White & Grey,,M,Found
324,1999-05-15T00:00:00+00:00,Min Pin,Black & Tan,,M,Lost
325,1999-05-15T00:00:00+00:00,Sheltie,Tan & White,Tim,M/N,Found
326,1999-05-16T00:00:00+00:00,Lab,Brown,Angus,M,Matched
